hyperparameter,threshold,f1_score,recall_normal,recall_anomaly,balance_score,mcc_score,classification_report
samples_155_trees_942,3.12,0.3735525037418271,0.8474221924184451,0.010189539689325922,0.4288058660538855,-0.17945268796938071,"{""Normal"": {""precision"": 0.8298965271462629, ""recall"": 0.665969784229419, ""f1-score"": 0.7389510772631279, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.29577113393488297, ""recall"": 0.506840530141086, ""f1-score"": 0.3735525037418271, ""support"": 14034.0}, ""accuracy"": 0.6314724419179436, ""macro avg"": {""precision"": 0.5628338305405729, ""recall"": 0.5864051571852524, ""f1-score"": 0.5562517905024775, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.7141044521288306, ""recall"": 0.6314724419179436, ""f1-score"": 0.6597369833926704, ""support"": 64736.0}}"
samples_102_trees_578,3.2800000000000002,0.3672974159072721,0.7810342787266774,0.02436938862761864,0.402701833677148,-0.210192878981057,"{""Normal"": {""precision"": 0.8271426073489371, ""recall"": 0.6530906078655674, ""f1-score"": 0.729883727337852, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.2879812168562523, ""recall"": 0.5069117856633889, ""f1-score"": 0.3672974159072721, ""support"": 14034.0}, ""accuracy"": 0.6214007661888284, ""macro avg"": {""precision"": 0.5575619121025946, ""recall"": 0.5800011967644781, ""f1-score"": 0.5485905716225621, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.7102587876168817, ""recall"": 0.6214007661888284, ""f1-score"": 0.6512792986642121, ""support"": 64736.0}}"
samples_399_trees_988,3.12,0.012800620636152055,0.9301802690229183,0.0005700441784238278,0.4653751566006711,-0.12537073168684537,"{""Normal"": {""precision"": 0.760912186564854, ""recall"": 0.8726282986864423, ""f1-score"": 0.8129501690430693, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.020030349013657057, ""recall"": 0.00940572894399316, ""f1-score"": 0.012800620636152055, ""support"": 14034.0}, ""accuracy"": 0.6854918437963421, ""macro avg"": {""precision"": 0.39047126778925556, ""recall"": 0.44101701381521774, ""f1-score"": 0.41287539483961067, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.6002977570635951, ""recall"": 0.6854918437963421, ""f1-score"": 0.6394872000251707, ""support"": 64736.0}}"
samples_374_trees_339,3.2,0.012802482905775665,0.930140822847225,0.0005700441784238278,0.46535543351282443,-0.1254088544581217,"{""Normal"": {""precision"": 0.7609245214879018, ""recall"": 0.8726874679499822, ""f1-score"": 0.8129828848609567, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.020039471686655534, ""recall"": 0.00940572894399316, ""f1-score"": 0.012802482905775665, ""support"": 14034.0}, ""accuracy"": 0.6855381858625803, ""macro avg"": {""precision"": 0.39048199658727867, ""recall"": 0.4410465984469877, ""f1-score"": 0.4128926838833662, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.6003093956087822, ""recall"": 0.6855381858625803, ""f1-score"": 0.6395132271583027, ""support"": 64736.0}}"
samples_370_trees_985,3.14,0.012800620636152055,0.9301605459350716,0.0005700441784238278,0.46536529505674773,-0.12538979420923502,"{""Normal"": {""precision"": 0.760912186564854, ""recall"": 0.8726282986864423, ""f1-score"": 0.8129501690430693, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.020030349013657057, ""recall"": 0.00940572894399316, ""f1-score"": 0.012800620636152055, ""support"": 14034.0}, ""accuracy"": 0.6854918437963421, ""macro avg"": {""precision"": 0.39047126778925556, ""recall"": 0.44101701381521774, ""f1-score"": 0.41287539483961067, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.6002977570635951, ""recall"": 0.6854918437963421, ""f1-score"": 0.6394872000251707, ""support"": 64736.0}}"
samples_382_trees_152,3.1,0.013076850184781578,0.9301210997593783,0.0005700441784238278,0.4653455719689011,-0.12542791243457152,"{""Normal"": {""precision"": 0.7590177580466149, ""recall"": 0.8632401088714449, ""f1-score"": 0.8077810383330565, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.019513574660633484, ""recall"": 0.00983326207781103, ""f1-score"": 0.013076850184781578, ""support"": 14034.0}, ""accuracy"": 0.678231586752348, ""macro avg"": {""precision"": 0.3892656663536242, ""recall"": 0.43653668547462793, ""f1-score"": 0.410428944258919, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.598701987692579, ""recall"": 0.678231586752348, ""f1-score"": 0.6354985590869973, ""support"": 64736.0}}"
samples_168_trees_302,3.1,0.023045336461912345,0.8723916216322828,0.00940572894399316,0.440898675288138,-0.16094505197215156,"{""Normal"": {""precision"": 0.7493989508961095, ""recall"": 0.8115064494497258, ""f1-score"": 0.7792170899380717, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.027969894222945484, ""recall"": 0.019595268633319084, ""f1-score"": 0.023045336461912345, ""support"": 14034.0}, ""accuracy"": 0.6398294611962432, ""macro avg"": {""precision"": 0.3886844225595275, ""recall"": 0.41555085904152245, ""f1-score"": 0.401131213199992, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.5930016544713816, ""recall"": 0.6398294611962432, ""f1-score"": 0.6152879873014487, ""support"": 64736.0}}"
samples_101_trees_367,3.22,0.3665230327280189,0.8296319671807818,0.010474561778537837,0.4200532644796598,-0.19237968205147266,"{""Normal"": {""precision"": 0.8268312302046151, ""recall"": 0.6487515285393081, ""f1-score"": 0.7270456655320278, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.28632684138815423, ""recall"": 0.5091207068547813, ""f1-score"": 0.3665230327280189, ""support"": 14034.0}, ""accuracy"": 0.6184812160158181, ""macro avg"": {""precision"": 0.5565790357963847, ""recall"": 0.5789361176970447, ""f1-score"": 0.5467843491300233, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.7096562643023319, ""recall"": 0.6184812160158181, ""f1-score"": 0.6488886180040455, ""support"": 64736.0}}"
samples_373_trees_369,3.1,0.0128,0.9301802690229183,0.0005700441784238278,0.4653751566006711,-0.12537073168684537,"{""Normal"": {""precision"": 0.7609080746409838, ""recall"": 0.8726085755985957, ""f1-score"": 0.812939263369684, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.02002730996813837, ""recall"": 0.00940572894399316, ""f1-score"": 0.0128, ""support"": 14034.0}, ""accuracy"": 0.6854763964409293, ""macro avg"": {""precision"": 0.3904676923045611, ""recall"": 0.44100715227129444, ""f1-score"": 0.41286963168484203, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.6002938777270762, ""recall"": 0.6854763964409293, ""f1-score"": 0.6394785240263487, ""support"": 64736.0}}"
samples_460_trees_135,3.1,0.01119346543639389,0.9302197151986115,0.0005700441784238278,0.46539487968851767,-0.12533259981728892,"{""Normal"": {""precision"": 0.7637646978977553, ""recall"": 0.88781507632835, ""f1-score"": 0.8211311668293216, ""support"": 50702.0}, ""Anomaly"": {""precision"": 0.019141231246766685, ""recall"": 0.00790936297563061, ""f1-score"": 0.01119346543639389, ""support"": 14034.0}, ""accuracy"": 0.6970619130004944, ""macro avg"": {""precision"": 0.391452964572261, ""recall"": 0.4478622196519903, ""f1-score"": 0.41616231613285776, ""support"": 64736.0}, ""weighted avg"": {""precision"": 0.6023391274117819, ""recall"": 0.6970619130004944, ""f1-score"": 0.6455462418826405, ""support"": 64736.0}}"
